SampleID for each row in the figure:
Row	1-layer-clusterID	SampleID
1128	22	11860_7_16
1129	22	11860_7_24
1130	22	11860_7_57
1131	22	11860_7_88
1132	22	11860_8_19
1133	22	11861_2_7
1134	22	11861_4_78
1135	22	11861_5_17
1136	22	11861_5_39
1137	22	11861_5_52
1138	22	11893_1_65
1139	22	12673_6_56
1140	22	11861_4_83
1141	22	11893_1_23
1142	22	14412_3_56
1143	22	11860_6_14
1144	22	11860_8_66
